"Id","UnitId","Filename","SchoolCode","Created","CreatedBy","Uploaded","UploadedBy"
"165","80","journal.AG.201511020702462091.txt","01","2015-11-02 07:03:07","wipurft","2015-11-04 15:12:15","wipurft"
"166","126","journal.SS.201511031439107027.txt","19","2015-11-03 14:39:14","mclaughl","2015-11-03 14:48:46","mclaughl"
"167","128","journal.HA.201511040847168092.txt","17","2015-11-04 08:47:24","lisas","2015-11-04 08:49:11","lisas"
"168","80","journal.AG.201512011207113091.txt","01","2015-12-01 12:07:30","wipurft","2015-12-01 12:08:06","wipurft"
"169","128","journal.HA.201512021516006434.txt","17","2015-12-02 15:16:02","lisas","2015-12-02 15:18:25","lisas"
"170","126","journal.SS.201512041023568857.txt","19","2015-12-04 10:24:15","mclaughl","2015-12-04 10:27:37","mclaughl"
"171","80","journal.AG.201601031150507518.txt","01","2016-01-03 11:51:10","wipurft","2016-01-04 10:39:17","wipurft"
"172","126","journal.SS.201601041105052317.txt","19","2016-01-04 11:05:19","mclaughl","2016-01-04 11:10:56","mclaughl"
"173","128","journal.HA.201601050917002744.txt","17","2016-01-05 09:17:14","lisas","2016-01-05 09:20:39","lisas"
"174","80","journal.AG.201602030652338583.txt","01","2016-02-03 06:53:11","wipurft","2016-02-03 06:53:27","wipurft"
"175","126","journal.SS.201602031039177122.txt","19","2016-02-03 10:39:35","mclaughl","2016-02-03 10:42:17","mclaughl"
"176","128","journal.HA.201602080938526242.txt","17","2016-02-08 09:39:09","lisas","2016-02-08 09:41:43","lisas"
"177","80","journal.AG.201603020737128097.txt","01","2016-03-02 07:37:35","wipurft","2016-03-02 07:37:51","wipurft"
"178","126","journal.SS.201603041457500592.txt","19","2016-03-04 14:58:23","mclaughl","2016-03-04 15:01:51","mclaughl"
"179","128","journal.HA.201603071033255425.txt","17","2016-03-07 10:33:41","lisas","2016-03-07 10:36:35","lisas"
"180","80","journal.AG.201604040658086956.txt","01","2016-04-04 06:58:30","wipurft","2016-04-04 06:58:43","wipurft"
"181","126","journal.SS.201604040826376142.txt","19","2016-04-04 08:26:57","mclaughl","2016-04-04 08:30:46","mclaughl"
"182","128","journal.HA.201604051320130868.txt","17","2016-04-05 13:20:27","lisas","2016-04-05 13:22:51","lisas"
"183","128","journal.HA.201604061427184316.txt","17","2016-04-06 14:27:34","lisas","2016-04-06 14:29:03","lisas"
"184","80","journal.AG.201605021029189018.txt","01","2016-05-02 10:29:50","wipurft","2016-05-02 10:30:14","wipurft"
"185","126","journal.SS.201605030931542324.txt","19","2016-05-03 09:32:30","mclaughl","2016-05-03 09:34:59","mclaughl"
